Arttırılabilir Azami Bellek:,Bağlantı Girişleri:,Bağlantılar:,Cihaz Ağırlığı:,Dokunmatik Ekran:,Ekran Boyutu:,Ekran Kartı Bellek Tipi:,Ekran Kartı Hafızası:,Ekran Kartı Tipi:,Ekran Kartı:,Ekran Özelliği:,Garanti Tipi:,Görüntü Kalitesi:,HDMI:,Hard Disk Kapasitesi:,Kapasite:,Klavye:,Kullanım Amacı:,Optik Sürücü Tipi:,Optik Sürücü:,Panel Tipi:,Ram (Sistem Belleği):,Renk:,SSD Kapasitesi:,Web Color:,Çözünürlük Standartı:,Çözünürlük:,İşlemci Frekansı:,İşlemci Hızı (GHz):,İşlemci Modeli:,İşlemci Nesli:,İşlemci Tipi:,İşlemci Çekirdek Sayısı:,İşletim Sistemi:,Şarjlı Kullanım Süresi:,url,price
,,,2 - 4 kg,Yok,"15,6 inç",DDR4,4 GB,Yüksek Seviye Harici Ekran Kartı,Nvidia GeForce GTX1650,,Distribütör Garantili,,,,Yok,Numerik Tuşlu Aydınlatmalı,Oyun,Yok,,,16 GB,,512 GB,,,,,,9300H,9. Nesil,Intel Core i5,4,Free Dos,4 - 6 Saat,https://www.trendyol.com//casper/excalibur-g770-9300-bvh0x-i5-9300h-rgb-16gb-500gb-m2-nvme-ssd-gtx1650-4gb-15-6-dos-p-32575495,9.900 TL
,,Bluetooth,2 - 4 kg,Var,14 inç,GDDR5,2 GB,Harici,Nvidia GeForce MX330,Full HD,Distribütör Garantili,,Var,,8 GB,Q Türkçe,Ofis - İş,Yok,,IPS,8 GB,Gri,256 GB,,,1920 x 1080,,,1035G1,10. Nesil,Intel Core i5,4,Windows,6 Saat ve Üstü,https://www.trendyol.com//lenovo/ideapad-flex-5-14iil05-intel-core-i5-1035g1-8gb-256gb-ssd-mx330-w10-home-14-fhd-81x1008ktx-p-46666793,7.999 TL
12 GB,,HDMI,2 - 4 kg,Yok,"15,6 inç",DDR4,Paylaşımlı,Dahili,Intel HD Graphics,HD,Distribütör Garantili,HD Ready,Var,,4 GB,Numerik Tuşlu,Ofis - İş,Yok,,VA,4 GB,Gümüş,256 GB,,HD Ready (HD),1366 x 768,,1 - 2,3250U,Ryzen,AMD Ryzen 3,4,Free Dos,3 Saat ve Altı,https://www.trendyol.com//asus/d509da-br853-amd-ryzen3-3250u-4gb-256gb-ssd-15-6-free-dos-p-62344288,4.489 TL
32 GB,,,2 - 4 kg,,"15,6 inç",,4 GB,Yüksek Seviye Harici Ekran Kartı,Nvidia GeForce GTX1650,,Distribütör Garantili,,,,Yok,Q Türkçe,Oyun,,,IPS,16 GB,,256 GB,,,1920 x 1080,,,10300H,10. Nesil,Intel Core i5,8,Free Dos,4 - 6 Saat,https://www.trendyol.com//casper/excalibur-g770-1030-buh0x-intel-10-nesil-i5-1030-16gb-ram-256gb-m2-ssd-4gb-gtx1650-dos-p-39573071,8.449 TL
32 GB,,,2 - 4 kg,Yok,"15,6 inç",GDDR6,4 GB,Yüksek Seviye Harici Ekran Kartı,Nvidia GeForce GTX1650 Ti,Full HD,Distribütör Garantili,HD Ready,Var,,512 GB,Q Türkçe,Oyun,Yok,,TN,8 GB,Siyah,512 GB,,Full HD (FHD),1920 x 1080,3.00 GHz üstü,4 +,10300H,10. Nesil,Intel Core i5,4,Free Dos,,https://www.trendyol.com//msi/gf63-thin-10scsr-657xtr-intel-core-i5-10300h-8gb-512gb-ssd-gtx1650ti-freedos-15-6-fhd-p-46381929,11.099 TL
,,,2 - 4 kg,Yok,"15,6 inç",DDR3,2 GB,Harici,Nvidia GeForce MX130,Full HD,Distribütör Garantili,,,,Yok,Aydınlatmalı,Ofis - İş,Yok,,,8 GB,Siyah,512 GB,,,1920 x 1080,,,10210U,10. Nesil,Intel Core i5,2,Free Dos,,https://www.trendyol.com//lenovo/ideapad-l3-15iml-intel-core-i5-10210u-8gb-512gb-ssd-freedos-mx130-15-6-fhd-81y300gutx-p-42572326,7.685 TL
16 GB,,HDMI,2 - 4 kg,Yok,"15,6 inç",GDDR5,2 GB,Harici,Nvidia GeForce MX110,HD,Distribütör Garantili,HD Ready,Var,,8 GB,Numerik Tuşlu,Ofis - İş,Yok,,TN,8 GB,Gri,512 GB,,HD Ready (HD),1366 x 768,,1 - 2,10210U,10. Nesil,Intel Core i5,4,Free Dos,4 - 6 Saat,https://www.trendyol.com//hp/15-da2082nt-intel-core-i5-10210u-8gb-512gb-ssd-mx110-freedos-15-6-tasinabilir-bilgisayar-1s7y3ea-p-45521560,"7.698,88 TL"
4 GB,,,2 - 4 kg,Yok,14 inç,DDR4,Paylaşımlı,Dahili,Intel UHD Graphics 600,HD,Distribütör Garantili,,,,Yok,Q Türkçe,Ofis - İş,Yok,,,4 GB,Gri,120 GB,,,1366 x 768,,,N4000,4. Nesil,Intel Celeron,2,Windows,,https://www.trendyol.com//casper/nirvana-c350-4000-4c00e-14-intel-core-celeron-n4000-4gb-ram-120gb-ssd-w10-home-p-35664279,4.499 TL
,,,2 - 4 kg,Yok,"15,6 inç",DDR4,2 GB,Harici,Nvidia GeForce MX110,Full HD,Distribütör Garantili,,,,512 GB,Q Türkçe,Ev - Okul,Yok,,,8 GB,Gri,512 GB,,,1920 x 1080,,,10210U,10. Nesil,Intel Core i5,4,Free Dos,,https://www.trendyol.com//hp/15-da2088nt-1s7y9ea-intel-core-i5-10210u-8gb-512-ssd-mx130-15-6-fhd-freedos-p-52199778,6.500 TL
16 GB,,Bluetooth,2 kg ve Altı,Yok,14 inç,GDDR5,2 GB,Harici,Nvidia GeForce MX250,Full HD,Distribütör Garantili,,Var,,Yok,Q Türkçe,Oyun,Yok,,IPS,8 GB,,256 GB,,Full HD (FHD),1920 x 1080,,,10510U,10. Nesil,Intel Core i7,4,Free Dos,3 Saat ve Altı,https://www.trendyol.com//monster/notebook-huma-h4-v3-1-i7-10510u-8gb-256gb-ssd-2gb-mx-250-14-fullhd-ips-p-34838125,8.199 TL
